Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
149,Marco Asensio,es ESP,"MF,FW",Aston Villa,29-090,1996,8,5,466,5.2,0.58,0.19,0.77,0.58,0,0.38,0.19,0,0.81,0.5,0.15,0.65,2.88,5.77,4.42,0.58,0.19,0.77,0.58,0.77,0.81,0.16,0.96,0.5,0.66,Matches
150,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-298,1998,30,18,"1,479",16.4,0.12,0.37,0.49,0.12,0,0,0.18,0,0.08,0.08,0.22,0.3,2.8,2.13,4.88,0.12,0.37,0.49,0.12,0.49,0.08,0.22,0.3,0.08,0.3,Matches
151,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,27-016,1998,16,6,605,6.7,0.15,0,0.15,0.15,0,0,0.15,0,0.22,0.22,0.09,0.31,2.54,1.79,4.03,0.15,0,0.15,0.15,0.15,0.22,0.1,0.32,0.22,0.32,Matches
152,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-117,1996,12,0,98,1.1,0,0,0,0,0,0,0.91,0,0.64,0.64,0,0.64,2.73,6.36,5.45,0,0,0,0,0,0.6,0.02,0.62,0.6,0.62,Matches
153,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-064,1997,17,7,625,6.9,0.14,0.14,0.29,0.14,0,0,0.14,0,0.17,0.17,0.09,0.26,1.45,3.62,2.9,0.14,0.14,0.29,0.14,0.29,0.17,0.09,0.26,0.17,0.26,Matches
154,Matheus Cunha,br BRA,"MF,FW",Wolves,25-329,1999,28,25,"2,253",25,0.56,0.16,0.72,0.56,0,0,0.12,0,0.29,0.29,0.27,0.56,3.8,4.76,5.64,0.56,0.16,0.72,0.56,0.72,0.29,0.27,0.56,0.29,0.56,Matches
155,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-292,2000,33,29,"2,495",27.7,0.07,0.36,0.43,0.07,0,0,0.07,0,0.09,0.09,0.26,0.36,2.24,7.36,4.15,0.07,0.36,0.43,0.07,0.43,0.09,0.26,0.36,0.09,0.36,Matches
156,Danilo,br BRA,"MF,FW",Nott'ham Forest,23-357,2001,6,4,210,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.87,4.35,0.43,0,0,0,0,0,0,0,0,0,0,Matches
157,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,26-227,1998,11,2,258,2.9,0,0.34,0.34,0,0,0,0,0,0.07,0.07,0.38,0.45,1.72,4.83,3.79,0,0.35,0.35,0,0.35,0.08,0.37,0.45,0.08,0.45,Matches
158,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-297,1998,28,18,"1,567",17.4,0,0,0,0,0,0,0.46,0,0.08,0.08,0.07,0.16,0.69,3.45,1.38,0,0,0,0,0,0.08,0.07,0.15,0.08,0.15,Matches
159,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,27-095,1998,2,1,115,1.3,0,0,0,0,0,0,0,0,0.31,0.31,0,0.31,1.54,3.08,5.38,0,0,0,0,0,0.31,0.04,0.34,0.31,0.34,Matches
160,Harvey Elliott,eng ENG,"MF,FW",Liverpool,22-017,2003,13,0,184,2,0,0.5,0.5,0,0,0,0,0,0.25,0.25,0.45,0.65,3.5,12,11.5,0,0.49,0.49,0,0.49,0.23,0.42,0.64,0.23,0.64,Matches
161,Julio Enciso,py PAR,"MF,FW",Ipswich Town,21-088,2004,9,8,550,6.1,0.16,0.49,0.66,0.16,0,0,0.49,0,0.2,0.2,0.2,0.39,1.97,3.61,4.59,0.16,0.49,0.65,0.16,0.65,0.19,0.2,0.39,0.19,0.39,Matches
162,Julio Enciso,py PAR,"MF,FW",Brighton,21-088,2004,12,2,294,3.3,0,0,0,0,0,0,0,0,0.3,0.3,0.06,0.36,3.33,4.24,5.15,0,0,0,0,0,0.31,0.07,0.38,0.31,0.38,Matches
163,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-296,1998,29,27,"2,275",25.3,0.12,0.32,0.43,0.12,0,0.04,0.04,0,0.31,0.28,0.19,0.47,2.57,3.36,5.53,0.12,0.32,0.44,0.12,0.44,0.31,0.19,0.5,0.28,0.47,Matches
164,Phil Foden,eng ENG,"MF,FW",Manchester City,24-328,2000,25,19,"1,686",18.7,0.37,0.11,0.48,0.37,0,0,0.11,0,0.27,0.27,0.25,0.52,2.51,5.08,6.36,0.37,0.11,0.48,0.37,0.48,0.27,0.25,0.52,0.27,0.52,Matches
165,Carlos Forbs,pt POR,"MF,FW",Wolves,21-033,2004,9,1,237,2.6,0,0,0,0,0,0,0.77,0,0.04,0.04,0,0.08,3.46,3.08,10.8,0,0,0,0,0,0.05,0.01,0.07,0.05,0.07,Matches
166,Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20-294,2004,32,21,"1,966",21.8,0.23,0.05,0.28,0.23,0,0,0.09,0,0.28,0.28,0.16,0.44,5.96,2.29,11.9,0.23,0.05,0.27,0.23,0.27,0.28,0.16,0.44,0.28,0.44,Matches
167,Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-143,1996,24,7,770,8.6,0.23,0.47,0.7,0.23,0,0,0.12,0,0.26,0.26,0.13,0.38,3.6,3.49,6.74,0.23,0.47,0.7,0.23,0.7,0.25,0.13,0.38,0.25,0.38,Matches
168,Luis Guilherme,br BRA,"MF,FW",West Ham,19-071,2006,11,1,138,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0.07,0.27,2,2,8.67,0,0,0,0,0,0.19,0.05,0.24,0.19,0.24,Matches
169,Hwang Hee-chan,kr KOR,"MF,FW",Wolves,29-085,1996,19,5,645,7.2,0.28,0,0.28,0.28,0,0,0,0,0.11,0.11,0.01,0.13,2.08,1.67,5.56,0.28,0,0.28,0.28,0.28,0.11,0.02,0.13,0.11,0.13,Matches
170,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-173,2003,27,26,"2,223",24.7,0.12,0.08,0.2,0.12,0,0,0.2,0,0.09,0.09,0.1,0.19,2.87,2.79,5.3,0.12,0.08,0.2,0.12,0.2,0.09,0.1,0.19,0.09,0.19,Matches
171,Joelinton,br BRA,"MF,FW",Newcastle Utd,28-250,1996,29,29,"2,393",26.6,0.15,0.11,0.26,0.15,0,0,0.38,0,0.15,0.15,0.09,0.24,1.5,4.36,4.14,0.15,0.11,0.26,0.15,0.26,0.15,0.09,0.24,0.15,0.24,Matches
172,Joshua King,eng ENG,"MF,FW",Fulham,18-108,2007,5,1,80,0.9,0,0,0,0,0,0,0,0,0.22,0.22,0.44,0.67,1.11,4.44,10,0,0,0,0,0,0.22,0.48,0.7,0.22,0.7,Matches
173,Justin Kluivert,nl NED,"MF,FW",Bournemouth,25-351,1999,29,25,"2,026",22.5,0.53,0.27,0.8,0.27,0.27,0.27,0.31,0,0.44,0.23,0.21,0.44,3.02,4.18,6.31,0.53,0.27,0.8,0.27,0.53,0.44,0.21,0.65,0.23,0.44,Matches
174,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,24-361,2000,28,24,"2,170",24.1,0.29,0.17,0.46,0.29,0,0,0.12,0,0.17,0.17,0.25,0.42,4.77,4.9,8.34,0.29,0.17,0.46,0.29,0.46,0.17,0.25,0.42,0.17,0.42,Matches
175,Edmond-Paris Maghoma,eng ENG,"MF,FW",Brentford,23-348,2001,8,0,119,1.3,0,0,0,0,0,0,0,0,0.08,0.08,0.08,0.15,3.08,10,3.08,0,0,0,0,0,0.09,0.08,0.17,0.09,0.17,Matches
176,James Mcatee,eng ENG,"MF,FW",Manchester City,22-185,2002,12,1,224,2.5,1.2,0,1.2,1.2,0,0,0.4,0,1.08,1.08,0.12,1.24,2.8,2.4,7.2,1.21,0,1.21,1.21,1.21,1.1,0.13,1.24,1.1,1.24,Matches
177,John McGinn,sct SCO,"MF,FW",Aston Villa,30-185,1994,29,24,"1,962",21.8,0.05,0.14,0.18,0.05,0,0,0.32,0,0.13,0.12,0.16,0.28,1.38,4.08,3.12,0.05,0.14,0.18,0.05,0.18,0.13,0.15,0.29,0.12,0.27,Matches
178,Dwight McNeil,eng ENG,"MF,FW",Everton,25-150,1999,16,13,"1,157",12.9,0.23,0.31,0.54,0.23,0,0,0.08,0,0.07,0.07,0.29,0.36,2.48,4.73,5.12,0.23,0.31,0.54,0.23,0.54,0.07,0.29,0.36,0.07,0.36,Matches
179,Mikel Merino,es ESP,"MF,FW",Arsenal,28-303,1996,25,15,"1,401",15.6,0.38,0.13,0.51,0.38,0,0,0.13,0,0.28,0.28,0.12,0.4,0.58,3.91,5.51,0.39,0.13,0.51,0.39,0.51,0.28,0.12,0.4,0.28,0.4,Matches
180,Mason Mount,eng ENG,"MF,FW",Manchester Utd,26-101,1999,12,4,348,3.9,0,0,0,0,0,0,0.77,0,0.31,0.31,0.05,0.36,1.79,3.85,3.85,0,0,0,0,0,0.32,0.05,0.37,0.32,0.37,Matches
181,Marshall Munetsi,zw ZIM,"MF,FW",Wolves,28-303,1996,9,8,698,7.8,0.13,0.13,0.26,0.13,0,0,0,0,0.38,0.38,0.12,0.49,0.51,0.9,2.95,0.13,0.13,0.26,0.13,0.26,0.38,0.11,0.5,0.38,0.5,Matches
182,Gustavo Nunes,br BRA,"MF,FW",Brentford,19-152,2005,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
183,Lucas Paquetá,br BRA,"MF,FW",West Ham,27-237,1997,29,25,"2,167",24.1,0.17,0,0.17,0.08,0.08,0.08,0.33,0,0.22,0.15,0.12,0.27,0.83,5.35,3.36,0.17,0,0.17,0.08,0.08,0.21,0.13,0.34,0.15,0.27,Matches
184,Daniel Podence,pt POR,"MF,FW",Wolves,29-182,1995,2,0,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
185,Georginio Rutter,fr FRA,"MF,FW",Brighton,23-001,2002,28,19,"1,656",18.4,0.27,0.16,0.43,0.27,0,0,0.11,0,0.25,0.25,0.14,0.39,2.28,3.64,4.29,0.27,0.16,0.43,0.27,0.43,0.25,0.14,0.39,0.25,0.39,Matches
186,Pablo Sarabia,es ESP,"MF,FW",Wolves,32-345,1992,19,6,676,7.5,0.4,0.27,0.67,0.4,0,0,0.4,0,0.37,0.37,0.21,0.59,1.6,6.27,6.53,0.4,0.27,0.67,0.4,0.67,0.37,0.22,0.59,0.37,0.59,Matches
187,Ismaila Sarr,sn SEN,"MF,FW",Crystal Palace,27-055,1998,33,26,"2,364",26.3,0.27,0.15,0.42,0.27,0,0,0.15,0,0.32,0.32,0.26,0.57,2.4,2.89,6.08,0.27,0.15,0.42,0.27,0.42,0.31,0.26,0.58,0.31,0.58,Matches
188,Bernardo Silva,pt POR,"MF,FW",Manchester City,30-254,1994,28,24,"2,221",24.7,0.08,0.16,0.24,0.08,0,0,0.24,0,0.12,0.12,0.17,0.29,3.56,4.25,7.25,0.08,0.16,0.24,0.08,0.24,0.12,0.17,0.29,0.12,0.29,Matches
189,Carlos Soler,es ESP,"MF,FW",West Ham,28-109,1997,28,14,"1,347",15,0.07,0.07,0.13,0.07,0,0,0.33,0,0.11,0.11,0.08,0.19,1.07,3.47,2.2,0.07,0.07,0.13,0.07,0.13,0.11,0.08,0.19,0.11,0.19,Matches
190,Willian,br BRA,"MF,FW",Fulham,36-255,1988,7,1,161,1.8,0,0,0,0,0,0,0,0,0.06,0.06,0.11,0.22,2.78,15,9.44,0,0,0,0,0,0.07,0.13,0.2,0.07,0.2,Matches
191,Joe Willock,eng ENG,"MF,FW",Newcastle Utd,25-244,1999,28,9,887,9.9,0,0.2,0.2,0,0,0,0.2,0,0.12,0.12,0.16,0.29,3.13,3.43,6.87,0,0.2,0.2,0,0.2,0.12,0.17,0.29,0.12,0.29,Matches
192,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-277,2006,2,0,28,0.3,0,0,0,0,0,0,3.33,0,0,0,0.33,0.33,3.33,0,10,0,0,0,0,0,0.07,0.22,0.29,0.07,0.29,Matches
193,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-149,1994,18,12,926,10.3,0,0.1,0.1,0,0,0,0.1,0,0.05,0.05,0.16,0.21,3.69,0.78,6.31,0,0.1,0.1,0,0.1,0.05,0.16,0.21,0.05,0.21,Matches
194,Ryan Fraser,sct SCO,"FW,DF",Southampton,31-056,1994,8,4,306,3.4,0,0,0,0,0,0,0,0.29,0,0,0.03,0.03,2.94,2.35,5.29,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches
195,Mason Holgate,eng ENG,"FW,DF",Everton,28-181,1996,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
196,Jaden Philogene Bidace,eng ENG,"FW,DF",Ipswich Town,23-072,2002,10,5,474,5.3,0.38,0,0.38,0.38,0,0,0.19,0,0.38,0.38,0.04,0.42,2.45,1.89,6.79,0.38,0,0.38,0.38,0.38,0.37,0.05,0.42,0.37,0.42,Matches
197,Ryan Sessegnon,eng ENG,"FW,DF",Fulham,24-338,2000,11,4,325,3.6,0.83,0.56,1.39,0.83,0,0,0,0,0.33,0.33,0.17,0.5,2.5,1.11,7.22,0.83,0.55,1.38,0.83,1.38,0.34,0.17,0.51,0.34,0.51,Matches
198,Tyler Adams,us USA,MF,Bournemouth,26-066,1999,23,16,"1,530",17,0,0.18,0.18,0,0,0,0.35,0,0.09,0.09,0.05,0.14,0.71,3.59,0.41,0,0.18,0.18,0,0.18,0.09,0.05,0.14,0.09,0.14,Matches
199,Asher Agbinone,eng ENG,MF,Crystal Palace,19-205,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,1,20,0,10,0,0,0,0,0,0.29,0.5,0.79,0.29,0.79,Matches
200,Carlos Alcaraz,ar ARG,MF,Southampton,22-142,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,1,1,1,2,40,60,10,0,0,0,0,0,0.62,0.86,1.48,0.62,1.48,Matches
